expert	local	taxa	water	floodplain	culvert	forest	slope	visibiity	silviculture	pasture	urban	embankment	car_return	aerial_structure	new_jersey	domestic_animal	people	traffic
s1	f13	amphibian	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	-1	NA	NA	0
s1	d01	bird	1	0	0	1	NA	1	1	-1	0	NA	1	NA	NA	0	0	-1
s1	d02	bird	0	0	0	1	NA	1	NA	-1	NA	NA	NA	NA	NA	NA	NA	-1
s1	d03	bird	1	1	0	1	NA	1	NA	NA	0	NA	NA	0	NA	NA	0	-1
s1	d04	bird	1	0	0	1	NA	1	0	NA	0	NA	0	0	NA	NA	0	-1
s1	d05	bird	NA	NA	NA	1	0	0	NA	NA	0	0	NA	NA	NA	NA	0	-1
s1	d06	bird	NA	NA	NA	1	0	1	NA	0	0	0	0	NA	NA	0	0	-1
s1	d07	bird	NA	NA	NA	1	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	-1
s1	d08	bird	0	0	0	1	NA	0	NA	0	0	NA	0	0	NA	NA	0	-1
s1	d09	bird	NA	NA	NA	1	-1	-1	NA	0	0	-1	NA	NA	NA	NA	NA	-1
s1	d10	bird	NA	NA	NA	1	0	-1	1	0	0	NA	NA	NA	NA	NA	0	-1
s1	d11	bird	1	NA	NA	1	0	1	NA	0	0	0	1	NA	0	0	0	-1
s1	d12	bird	1	NA	NA	1	1	1	NA	0	NA	1	NA	NA	NA	NA	NA	-1
s1	d13	bird	NA	NA	NA	1	0	1	NA	0	0	1	0	NA	1	NA	0	-1
s1	d14	bird	0	NA	NA	0	0	1	1	0	NA	1	NA	NA	0	NA	NA	-1
s1	d15	bird	0	0	0	1	0	-1	0	NA	NA	NA	NA	NA	NA	NA	NA	-1
s1	f01	bird	1	1	1	1	NA	1	0	NA	-1	NA	1	0	0	NA	0	-1
s1	f02	bird	1	NA	NA	NA	0	0	NA	NA	-1	0	NA	NA	0	NA	0	-1
s1	f03	bird	0	0	NA	1	0	1	NA	NA	0	NA	1	1	NA	NA	0	-1
s1	f04	bird	NA	NA	NA	1	0	0	0	NA	-1	NA	0	NA	NA	NA	0	-1
s1	f05	bird	NA	NA	NA	1	0	1	NA	NA	-1	0	NA	0	0	NA	0	-1
s1	f06	bird	0	0	NA	1	1	1	0	0	0	NA	NA	NA	0	NA	0	-1
s1	f07	bird	0	NA	NA	0	0	1	0	0	0	0	NA	NA	0	0	0	-1
s1	f08	bird	0	0	NA	1	0	0	0	0	-1	-1	NA	0	0	0	0	-1
s1	f09	bird	1	NA	NA	1	0	-1	0	0	0	NA	NA	0	-1	0	0	-1
s1	f10	bird	0	0	NA	1	0	1	0	0	0	NA	NA	NA	0	NA	0	-1
s1	f11	bird	0	NA	0	1	0	0	0	0	0	NA	NA	0	0	0	0	-1
s1	f12	bird	NA	NA	NA	1	-1	0	NA	NA	NA	NA	NA	NA	0	NA	NA	-1
s1	f13	bird	NA	NA	NA	1	-1	0	NA	NA	NA	NA	NA	NA	0	NA	NA	-1
s1	d01	mammal	1	0	0	0	NA	0	1	0	-1	NA	0	NA	NA	-1	-1	0
s1	d02	mammal	0	1	0	0	NA	0	NA	-1	NA	NA	NA	NA	NA	NA	NA	0
s1	d03	mammal	1	1	0	1	NA	1	NA	NA	-1	NA	NA	0	NA	NA	-1	-1
s1	d04	mammal	1	1	0	1	NA	1	0	NA	-1	NA	0	0	NA	NA	-1	0
s1	d05	mammal	NA	NA	NA	0	0	0	NA	NA	-1	0	NA	NA	NA	NA	-1	0
s1	d06	mammal	NA	NA	NA	1	0	0	NA	0	-1	0	0	NA	NA	-1	-1	0
s1	d07	mammal	NA	NA	NA	0	NA	0	NA	0	-1	NA	NA	NA	NA	NA	-1	0
s1	d08	mammal	1	1	0	1	NA	1	NA	0	-1	NA	0	0	NA	NA	-1	1
s1	d09	mammal	NA	NA	NA	1	-1	0	NA	0	0	-1	NA	NA	NA	NA	NA	0
s1	d10	mammal	NA	NA	NA	0	-1	0	0	0	-1	NA	NA	NA	NA	NA	-1	0
s1	d11	mammal	1	NA	NA	1	0	1	NA	0	0	0	0	NA	-1	0	0	0
s1	d12	mammal	1	NA	NA	1	-1	1	NA	-1	NA	-1	NA	NA	NA	NA	NA	0
s1	d13	mammal	NA	NA	NA	1	-1	0	NA	-1	-1	-1	0	NA	-1	NA	-1	0
s1	d14	mammal	0	NA	NA	1	-1	0	0	-1	NA	-1	NA	NA	-1	NA	NA	0
s1	d15	mammal	0	0	0	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	0
s1	f01	mammal	1	0	0	1	NA	0	0	NA	-1	NA	1	0	0	NA	-1	0
s1	f02	mammal	0	NA	NA	NA	-1	-1	NA	NA	-1	-1	NA	NA	-1	NA	-1	0
s1	f03	mammal	0	0	NA	0	0	0	NA	NA	-1	NA	0	1	NA	NA	-1	0
s1	f04	mammal	NA	NA	NA	1	0	0	0	NA	-1	NA	1	NA	NA	NA	-1	0
s1	f05	mammal	NA	NA	NA	-1	0	0	NA	NA	-1	0	NA	0	-1	NA	-1	0
s1	f06	mammal	0	0	NA	1	0	0	0	0	-1	NA	NA	NA	-1	NA	-1	0
s1	f07	mammal	1	NA	NA	0	-1	0	0	0	-1	0	NA	NA	-1	0	-1	0
s1	f08	mammal	0	0	NA	0	0	0	0	0	-1	0	NA	0	-1	-1	-1	0
s1	f09	mammal	0	NA	NA	0	0	0	0	0	-1	NA	NA	0	-1	-1	-1	0
s1	f10	mammal	0	0	NA	1	0	0	0	0	-1	NA	NA	NA	-1	NA	-1	0
s1	f11	mammal	0	NA	0	1	0	0	0	0	-1	NA	NA	0	-1	0	-1	0
s1	f12	mammal	NA	NA	NA	1	-1	0	NA	NA	NA	NA	NA	NA	-1	NA	NA	0
s1	f13	mammal	NA	NA	NA	1	-1	0	NA	NA	NA	NA	NA	NA	-1	NA	NA	0
s1	d01	bat	1	0	0	0	NA	1	1	0	0	NA	1	NA	NA	0	0	-1
s1	d02	bat	0	0	0	1	NA	1	NA	0	NA	NA	NA	NA	NA	NA	NA	-1
s1	d03	bat	0	0	0	1	NA	1	NA	NA	0	NA	NA	0	NA	NA	0	-1
s1	d04	bat	0	0	0	1	NA	1	1	NA	0	NA	0	0	NA	NA	0	-1
s1	d05	bat	NA	NA	NA	1	-1	1	NA	NA	0	-1	NA	NA	NA	NA	0	-1
s1	d06	bat	NA	NA	NA	1	0	1	NA	0	1	0	0	NA	NA	0	0	-1
s1	d07	bat	NA	NA	NA	1	NA	1	NA	-1	-1	NA	NA	NA	NA	NA	0	-1
s1	d08	bat	0	0	0	1	NA	1	NA	-1	0	NA	0	0	NA	NA	0	-1
s1	d09	bat	NA	NA	NA	1	-1	1	NA	0	-1	-1	NA	NA	NA	NA	NA	-1
s1	d10	bat	NA	NA	NA	1	-1	1	1	0	1	NA	NA	NA	NA	NA	0	-1
s1	d11	bat	1	NA	NA	1	-1	1	NA	-1	0	0	0	NA	0	0	0	-1
s1	d12	bat	1	NA	NA	1	-1	-1	NA	-1	NA	-1	NA	NA	NA	NA	NA	-1
s1	d13	bat	NA	NA	NA	1	-1	1	NA	-1	0	0	0	NA	0	NA	0	-1
s1	d14	bat	0	NA	NA	1	-1	1	1	-1	NA	0	NA	NA	0	NA	NA	-1
s1	d15	bat	0	0	0	1	-1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	-1
s1	f01	bat	0	0	0	1	NA	0	0	NA	-1	NA	0	0	0	NA	0	-1
s1	f02	bat	0	NA	NA	NA	-1	1	NA	NA	0	-1	NA	NA	0	NA	-1	-1
s1	f03	bat	0	0	NA	0	-1	1	NA	NA	-1	NA	0	0	NA	NA	-1	-1
s1	f04	bat	NA	NA	NA	1	0	1	1	NA	0	NA	0	NA	NA	NA	0	-1
s1	f05	bat	NA	NA	NA	1	-1	1	NA	NA	0	-1	NA	-1	0	NA	0	-1
s1	f06	bat	1	0	NA	1	0	1	1	0	1	NA	NA	NA	0	NA	0	-1
s1	f07	bat	0	NA	NA	0	-1	1	1	0	1	0	NA	NA	0	0	-1	-1
s1	f08	bat	0	0	NA	1	-1	1	1	0	0	0	NA	0	0	0	0	-1
s1	f09	bat	0	NA	NA	1	-1	1	0	0	1	NA	NA	-1	0	0	0	-1
s1	f10	bat	0	0	NA	1	-1	1	1	0	1	NA	NA	NA	0	NA	-1	-1
s1	f11	bat	1	NA	0	1	-1	1	0	0	1	NA	NA	0	0	0	-1	-1
s1	f12	bat	NA	NA	NA	1	-1	-1	NA	NA	NA	NA	NA	NA	0	NA	NA	-1
s1	f13	bat	NA	NA	NA	1	-1	-1	NA	NA	NA	NA	NA	NA	0	NA	NA	-1
s1	d01	primate	0	0	0	1	NA	0	1	-1	-1	NA	1	NA	NA	-1	0	-1
s1	d02	primate	0	0	0	0	NA	0	NA	-1	NA	NA	NA	NA	NA	NA	NA	0
s1	d03	primate	0	0	0	0	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	0
s1	d04	primate	1	0	0	1	NA	0	0	NA	0	NA	1	0	NA	NA	0	-1
s1	d05	primate	NA	NA	NA	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0	0
s1	d06	primate	NA	NA	NA	0	0	0	NA	0	0	0	0	NA	NA	0	0	0
s1	d07	primate	NA	NA	NA	0	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0
s1	d08	primate	0	0	0	0	NA	0	NA	0	0	NA	0	0	NA	NA	0	0
s1	d09	primate	NA	NA	NA	0	0	0	NA	0	0	0	NA	NA	NA	NA	NA	0
s1	d10	primate	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0
s1	d11	primate	1	NA	NA	1	0	0	NA	0	-1	0	1	NA	0	-1	-1	-1
s1	d12	primate	0	NA	NA	0	0	0	NA	0	NA	0	NA	NA	NA	NA	NA	0
s1	d13	primate	NA	NA	NA	0	0	0	NA	0	0	0	0	NA	0	NA	0	0
s1	d14	primate	0	NA	NA	0	0	0	0	0	NA	0	NA	NA	0	NA	NA	0
s1	d15	primate	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	-1
s1	f01	primate	1	0	1	1	NA	0	0	NA	0	NA	1	1	0	NA	0	-1
s1	f02	primate	0	NA	NA	NA	0	0	NA	NA	0	0	NA	NA	0	NA	0	0
s1	f03	primate	0	1	NA	1	0	0	NA	NA	0	NA	0	0	NA	NA	0	-1
s1	f04	primate	NA	NA	NA	0	0	0	0	NA	0	NA	0	NA	NA	NA	0	0
s1	f05	primate	NA	NA	NA	0	-1	0	NA	NA	-1	-1	NA	0	0	NA	0	0
s1	f06	primate	0	0	NA	1	0	0	1	0	-1	NA	NA	NA	-1	NA	0	-1
s1	f07	primate	0	NA	NA	0	0	0	0	0	-1	0	NA	NA	0	0	0	0
s1	f08	primate	1	1	NA	1	0	0	0	0	-1	0	NA	1	0	0	0	-1
s1	f09	primate	0	NA	NA	0	0	0	0	0	-1	NA	NA	0	0	-1	0	0
s1	f10	primate	0	0	NA	0	0	0	0	0	-1	NA	NA	NA	0	NA	0	0
s1	f11	primate	0	NA	0	1	0	0	0	0	0	NA	NA	1	0	-1	0	-1
s1	f12	primate	NA	NA	NA	1	-1	0	NA	NA	NA	NA	NA	NA	0	NA	NA	-1
s1	f13	primate	NA	NA	NA	1	-1	0	NA	NA	NA	NA	NA	NA	0	NA	NA	-1
